Gender,ExpierenceYears,ExpierenceYearsGermany,SeniorityLevel,Your main technology / programming language,Other technologies/programming languages you use often,Salary,Yearly bonus + stocks in EUR,SalaryYearAgo,Employment status,Сontract duration,Main language at work,CompanySize,LostJobDueToCorona
Male,"(-0.001, 5.0]","(-0.001, 2.0]",Middle,Python,"R, SQL, AWS, Kubernetes, Docker","(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(12.0, 30.0]","(2.0, 3.0]",Senior,Java,"Javascript / Typescript, .NET, Java / Scala, Docker","(71750.0, 80000.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,German,101-1000,No
Male,"(5.0, 9.0]","(5.0, 30.0]",Senior,Javascript / Typescript,"Python, Java / Scala, SQL, Azure, Docker","(28799.999, 62000.0]","(15000.0, 200000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,German,1000+,No
Female,"(-0.001, 5.0]","(2.0, 3.0]",Middle,java,"Kubernetes, Docker","(28799.999, 62000.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,51-100,No
Female,"(-0.001, 5.0]","(-0.001, 2.0]",Junior,"Kotlin, Java","Kotlin, Java / Scala","(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,11-50,No
Male,"(9.0, 12.0]","(5.0, 30.0]",Senior,Python,"Python, Java / Scala","(28799.999, 62000.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,German,101-1000,No
Male,"(12.0, 30.0]","(5.0, 30.0]",Lead,Linux Kernel,C/C++,"(80000.0, 115000.0]","(5000.0, 15000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,German,11-50,No
Male,"(5.0, 9.0]","(3.0, 5.0]",Senior,several,"Python, SQL, AWS, Docker, unix shell scripts","(62000.0, 71750.0]","(15000.0, 200000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(5.0, 9.0]","(-0.001, 2.0]",Middle,Java,"Python, Java / Scala, Go, AWS, Kubernetes, Docker","(62000.0, 71750.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(-0.001, 5.0]","(3.0, 5.0]",Middle,Python ,"Java / Scala, R, SQL, Docker, Julia ","(62000.0, 71750.0]","(5000.0, 15000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Female,"(9.0, 12.0]","(2.0, 3.0]",Middle,javascript,Javascript / Typescript,"(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Part-time employee,Unlimited contract,German,101-1000,No
Female,"(5.0, 9.0]","(3.0, 5.0]",Lead,Java,"Javascript / Typescript, SQL, Docker","(62000.0, 71750.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Female,"(-0.001, 5.0]","(3.0, 5.0]",Middle,Python,"Python, SQL, Docker","(62000.0, 71750.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(5.0, 9.0]","(5.0, 30.0]",Middle,Java/Groovy,"AWS, Docker","(62000.0, 71750.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(5.0, 9.0]","(-0.001, 2.0]",Senior,Python ,"Python, Javascript / Typescript, SQL, Docker","(71750.0, 80000.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,11-50,No
Male,"(-0.001, 5.0]","(2.0, 3.0]",Middle,Python ,"SQL, AWS, Kubernetes, Docker","(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(9.0, 12.0]","(5.0, 30.0]",Senior,typescript,"Javascript / Typescript, .NET, Azure","(80000.0, 115000.0]","(-0.001, 5000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,German,1000+,No
Male,"(-0.001, 5.0]","(-0.001, 2.0]",Middle,Scala,Java / Scala,"(62000.0, 71750.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(-0.001, 5.0]","(-0.001, 2.0]",Middle,Python + SQL,"Python, SQL, Spark","(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,Italian,101-1000,No
Male,"(9.0, 12.0]","(3.0, 5.0]",Middle,javascript,"Javascript / Typescript, SQL, AWS, Docker","(62000.0, 71750.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,51-100,No
Male,"(-0.001, 5.0]","(3.0, 5.0]",Middle,Java,"Javascript / Typescript, Java / Scala, AWS, Docker","(28799.999, 62000.0]","(5000.0, 15000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,11-50,No
Male,"(12.0, 30.0]","(3.0, 5.0]",Senior,Java,"Python, Kotlin, Java / Scala, Go, Rust, AWS, Kubernetes, Docker","(80000.0, 115000.0]","(15000.0, 200000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(-0.001, 5.0]","(-0.001, 2.0]",Senior,Java,"Kotlin, Swift","(71750.0, 80000.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(5.0, 9.0]","(3.0, 5.0]",Senior,Typescript,"Javascript / Typescript, Google Cloud, Kubernetes, Docker","(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,11-50,No
Male,"(5.0, 9.0]","(2.0, 3.0]",Senior,"Typescript, Web apps",Javascript / Typescript,"(71750.0, 80000.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(-0.001, 5.0]","(2.0, 3.0]",Middle,Python,"Python, Java / Scala, SQL, AWS, Docker","(80000.0, 115000.0]","(15000.0, 200000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(5.0, 9.0]","(-0.001, 2.0]",Middle,Python,AWS,"(80000.0, 115000.0]","(15000.0, 200000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,1000+,Yes
Male,"(9.0, 12.0]","(3.0, 5.0]",Senior,Scala,"Java / Scala, SQL, Go, Google Cloud, Kubernetes, Docker","(71750.0, 80000.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,11-50,No
Male,"(9.0, 12.0]","(-0.001, 2.0]",C-level executive manager,Python,"Python, C/C++, AWS, Kubernetes, Docker","(80000.0, 115000.0]","(15000.0, 200000.0]","(75000.0, 100000.0]",Full-time employee,Unlimited contract,English,51-100,No
Male,"(5.0, 9.0]","(3.0, 5.0]",Senior,Swift,Javascript / Typescript,"(62000.0, 71750.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Temporary contract,English,51-100,No
Male,"(9.0, 12.0]","(2.0, 3.0]",Senior,Terraform ,"Python, AWS, Kubernetes","(71750.0, 80000.0]","(5000.0, 15000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(-0.001, 5.0]","(-0.001, 2.0]",Middle,Java,"Python, C/C++","(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,1000+,No
Female,"(5.0, 9.0]","(3.0, 5.0]",Senior,python,"Python, SQL, Google Cloud, Kubernetes, Docker","(71750.0, 80000.0]","(5000.0, 15000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(-0.001, 5.0]","(-0.001, 2.0]",Middle,Python,"Python, SQL, AWS, Google Cloud, Kubernetes, Docker","(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(-0.001, 5.0]","(2.0, 3.0]",Senior,Scala,"Python, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker","(62000.0, 71750.0]","(5000.0, 15000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,1000+,No
Male,"(-0.001, 5.0]","(3.0, 5.0]",Middle,AWS,"Python, AWS, Docker","(62000.0, 71750.0]","(5000.0, 15000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Female,"(-0.001, 5.0]","(-0.001, 2.0]",Middle,Python,"R, SQL, AWS","(28799.999, 62000.0]","(-0.001, 5000.0]","(57000.0, 66000.0]",Full-time employee,Unlimited contract,German,101-1000,No
Female,"(-0.001, 5.0]","(-0.001, 2.0]",Middle,"Sql, BQ, tableau, gtm, ga","Python, Javascript / Typescript, SQL","(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Temporary contract,English,101-1000,Yes
Male,"(-0.001, 5.0]","(2.0, 3.0]",Middle,React ,Javascript / Typescript,"(28799.999, 62000.0]","(-0.001, 5000.0]","(27999.999, 57000.0]",Full-time employee,Unlimited contract,English,51-100,No
Male,"(-0.001, 5.0]","(-0.001, 2.0]",Senior,TypeScript,Javascript / Typescript,"(71750.0, 80000.0]","(-0.001, 5000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,101-1000,No
Male,"(9.0, 12.0]","(3.0, 5.0]",Senior,Typescript,Java / Scala,"(71750.0, 80000.0]","(5000.0, 15000.0]","(66000.0, 75000.0]",Full-time employee,Unlimited contract,English,1000+,No
